GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-cdi,org.mybatis.cdi,MybatisExtension.BeanKey,17,165,7,15,3,32,8,13,2,8
mybatis-cdi,org.mybatis.cdi,Isolation,0,56,0,0,0,11,0,3,0,3
mybatis-cdi,org.mybatis.cdi,MyBatisBean,2,113,1,5,1,29,2,15,1,13
mybatis-cdi,org.mybatis.cdi,CDIUtils.SerializableDefaultAnnotationLiteral,0,3,0,0,0,1,0,1,0,1
mybatis-cdi,org.mybatis.cdi,CDIUtils,5,52,1,3,1,11,1,4,0,3
mybatis-cdi,org.mybatis.cdi,JtaTransactionInterceptor,6,38,1,7,1,10,1,7,0,4
mybatis-cdi,org.mybatis.cdi,MybatisCdiConfigurationException,4,0,0,0,2,0,1,0,1,0
mybatis-cdi,org.mybatis.cdi,SqlSessionManagerRegistry,5,46,1,3,1,11,1,5,0,4
mybatis-cdi,org.mybatis.cdi,CDIUtils.SerializableAnyAnnotationLiteral,0,3,0,0,0,1,0,1,0,1
mybatis-cdi,org.mybatis.cdi,LocalTransactionInterceptor,15,212,7,29,3,57,7,23,0,12
mybatis-cdi,org.mybatis.cdi,MybatisExtension,22,255,3,17,4,51,3,13,0,6
mybatis-cdi,org.mybatis.cdi,SerializableMapperProxy,4,49,0,0,2,13,0,5,0,5
